_ - ,_ - voce/entry,_ - titolo/title,_ - sottitolo/subtitle,_ - autore/author,ids_authors,_ - genere/genre,_ - metro/mode,_ - luogo di pubblicazione/city,ids_city,_ - luogo di rappresentazione/location,ids_location,_ - editore/publisher,ids_publisher,_ - anno/year,_ - formato/format,_ - libretto,_ - compositore/composer,ids_composer,_ - traduzione/translation
70,"ADRIANO IN SIRIA. Dramma rappresentato nella Ces. Corte per il Nome gloriosissimo della S. C. R. M. di Carlo VI. Imp. de' Romani sempre Augusto, per comando della S. C. R. M. di Elisabetta Cristina Imperadrice Regnante l'anno 1732 — in Vienna, appr. Gio. Pietro Van Ghelen, 1732 in 8. — Poesia dell'Abate Metastasio, Romano. — Musica di Antonio Caldara, Veneziano, Vice Maestro di Cappella dell'Imperadore. — Replicato l'anno 1733. in Venezia nel Teatro di S. Gian—Grisostomo. — in Ven. presso Carlo Buonarrigo. 1733 in 12. — Musica di Gimuniano, Giacomelli, Parmigiano, Maestro di Cappella del Duca di Parma. — Replicato nello stesso Teatro l'anno 1740. con moltissimi cambiamenti. — In Venez. presso Marino Rossetti. 1740. 12. — Musica di Antonio Giai.",Adriano In Siria,,Pietro Metastasio,Q29473,Dramma,,Vienna,Q1741,Teatro Malibran,Q3982047,Johann Peter van Ghelen,Q1695821,1732,8,True,Antonio Caldara,Q311571,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
71,ADULATORE. Commedia (in prosa). — Ven. per il Bettinelli. 1740 in 8 — di Gio. Camillo Canzachi.,Adulatore,,Giovanni Camillo Canzachi,Q5563792,Commedia,prose,,,,,Giuseppe Bettinelli,Q110504049,1740,8,False,,,False
72,"ADUNANZA DEGLI SPENSIERATI. Prologo al Pastor Fido. — Poesia di Niccolò Corradini, della Mirandola.",Adunanza Degli Spensierati,,Nicolò Corradini,Q1365580,Prologo al,,,,,,unknown,,0,,False,,,False
73,"AFFANNATORE. Commedia di Terenzio (in verso sciolto) tradotta in Italiano. — in Ven. senza Stampatore, che per altro è Cristoforo Zane. — 1728 in 8 — Poesia di Luisa Bergalli, Veneziana, tra gli Arcadi Irminda Partenide.",Affannatore,,Luisa Bergalli,Q1433799,Commedia,,Venice,Q641,,,unknown,,1728,8,False,,,True
74,"AFFARI ED AMORI, o sia Gratitudine umana. Dramma. — in Milano, per Giuseppe Malatesta 1702. in 12. nel quarto Volume dell'Opere dell'Autore. — Poesia di Carlo Maria Maggi, Milanese.",Affari Ed Amori,Gratitudine Umana,Carlo Maria Maggi,Q1150131,Dramma,,Milan,Q490,,,Giuseppe Richino Malatesta,Q122599193,1702,12,False,,,False
75,"AFFETTI AMOROSI. Favola Boschereccia. — in Ven. per Riccardo Amadino. 1590 e 1592 in 12. — Poesia di Tranquillo Ambrosini, di Sinigaglia.",Affetti Amorosi,,Tranquillo Ambrosini,Q125676554,Favola Boschereccia,,Venice,Q641,,,Ricciardo Amadino,Q674972,1592,12,False,,,False
76,"AFFETTI GIOVENILI. Opera Morale (in prosa, ed in cinque Atti), nella quale si rappresenta il Dottorato, il Cavalierato, e la Religione, con sei Intermedi apparenti (in versi) il Caos, la Natura, l'Arme, le Lettere, la Religione, e l'Immortalità, recitata nell'illustre, e molto magnifica Accademia di Murano, &c. — in Venezia, appresso Giambatista Colonini. 1605 in 8 — di Tommaso Buoni, Lucchese, Accademico Romano.",Affetti Giovenili,,Tommaso Buoni,Q56648069,Opera Morale,prose,Venice,Q641,,,Giovanni Battista Colonini,,1605,8,False,,,False
77,"AFFETTI DEL MONDO COMBATTUTE DALL AMOR DEL CIELO. Dramma. — in Parma, nella Stamperia Ducale. 1693 in 8 — Poesia d'incerto Autore.",Affetti Del Mondo Combattute Dall Amor Del Cielo,,unknown,Q24238356,Dramma,,Parma,Q2683,,,Stamperia Ducale,,1693,8,False,,,False
78,"AFFETTI PIÙ GRANDI VINTI DAL PIU GIUSTO. Dramma per Musica nel felicissimo giorno Natalizio della S. C. R. M. di Giuseppe I. Re de' Romani, per comando della S. C. R. M. di Amalia Wilelmina Regina de' Romani l'anno 1701 — in Vienna, appr. Susanna Cristina Vedova di Matteo Cosmerovio. 1701 in 8 — Poesia di Donato Cupeda. — Musica di Gio. Bononcini, Bolognese.",Affetti Più Grandi Vinti Dal Piu Giusto,,Donato Cupeda,Q98636911,Dramma,,Vienna,Q1741,,,Susanna Christina Cosmerovius,Q106080028,1701,8,True,Giovanni Bononcini,Q315241,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
79,"AFFETTI. Ragionam. Famil. — Venezia, per il Simberti 1570 in 8 — ivi per il Bonibelli. 1596 in 8 — ivi per i Sessa. 1596 e 1597 in 12. — ivi per il Spineda, 1608. in 12. — di Bernardino Pino da' Cagli.",Affetti,,Bernardino Pino da Cagli,Q3638727,Ragionam,,,,,,Domenico Imberti,Q110086612,1570,8,False,,,False
,,,,,,,,,,,,unknown,,,,,,,
80,"AFFLITTI CONSOLATI. Commedia (in prosa). — in Ven. appr. Sebastiano de Combi, 1606 in 12. — di Alfonso Romei, di Ferrara.",Afflitti Consolati,,Alfonso Romei,Q125692261,Commedia,prose,Venice,Q641,,,Sebastiano Combi,Q108717253,1606,12,False,,,False
81,"AFFRICA LIBERATA. Favola Tragica Regia Pastorale. — in Piacenza, per Gio. Antonio Ardizzoni, 1643. in 8 — Poesia di Bartolommeo Lucchini, tra gli Accademici Novelli di Codogno detto il Risorgente.",Affrica Liberata,,Bartolomeo Lucchini,,Favola Tragica,,Piacenza,Q13329,,,Antonio Ardizzoni,,1643,8,False,,,False
82,"AFFRODITE. Tragedia. — in Verona, per Sebastiano, e Gio. delle Donne. 1578 in 8 — Poesia di Adriano Valerino, Veronese.",Affrodite,,Adriano Valerini,Q4685603,Tragedia,,Verona,Q2028,,,Sebastiano e Giovanni delle Donne,,1578,8,False,,,False
83,"AFRONIA RIPENTITA, ovvero, le Feste di Napoli sturbate. Tragedia. in Carpi, appr. Girolamo Vaschetti. 1617 in 4 — Poesia di Giulio Cammillo Cavallini, di Carpi, con li Cori di Eugenio suo Figliuolo.",Afronia Ripentita,Le Feste Di Napoli Sturbate,Giulio Cammillo Cavallini,,Tragedia,,Carpi,Q100041,,,Girolamo Vaschetti,,1617,4,False,,,False
84,"AGAMENNONE. Tragedia di Seneca tradotta in versi sciolti. — in Venezia, appr. Marco Ginammi, 1622 in 8 — Poesia di Ettore Nini, Accademico Filomato, Sanese.",Agamennone,,Ettore Nini,Q101094734,Tragedia,verse,Venice,Q641,,,Marco Ginammi,Q59526923,1622,8,False,,,True
85,"AGAMENNONE. Tragedia di Seneca tradotta in versi sciolti. — in Venezia, appr. Giambatista, e Marchiò Sessa Fratelli. 1560. in 12. con altre nove del medesimo Traduttore. — Poesia di Lodovico Dolce, Veneziano.",Agamennone,,Lodovico Dolce,Q1867806,Tragedia,verse,Venice,Q641,,,Giovanni Battista e Marchiò Sessa,,1560,12,False,,,True
,,,,,,,,,,,,unknown,,,,,,,
86,"AGAMENNONE. Tragedia di Seneca tradotta dal Latino in Italiano. — Colonia, per l'Ilden. 1708 in 4 — di Giorgio Roppacini.",Agamennone,,Giorgio Roppacini,,Tragedia,,,,,,Ilden,,1708,4,False,,,True
87,"AGAMENNONE. Tragedia tradotta dal Francese in prosa. — in Bologna, per il Longhi. 1719 in 12. — del Co. Antonio Zaniboni, Bolognese.",Agamennone,,Antonio Zaniboni,Q605793,Tragedia tradotta,prose,Bologna,Q1891,,,Giuseppe Longhi,Q98645100,1719,12,False,,,True
,,,,,,,,,,,,unknown,,,,,,,
88,"AGAR. Oratorio. — in Bologna, nella Stamperia Camerale. 1689 in 8 — Poesia di Gregorio Malisardi.",Agar,,Gregorio Malisardi,,Oratorio,,Bologna,Q1891,,,Stamperia Camerale,,1689,8,False,,,False
89,AGATA. Dramma Musicale. — Poesia di Carlo Mancini di Catania.,Agata,,Carlo Mancini di Catania,,Dramma Musicale,,,,,,unknown,,0,,False,,,False
90,"AGATA (S.) Oratorio cantato nell'Augustissima Cappella della S. C. R. M. dell'Imperadrice Eleonora l’ anno 1678 — in Vienna d'Austria, per il Cosmerovio, 1678 in 4 — Poesia del P. Luigi Ficieni.",Agata (S,,Luigi Ficieni,,R,,Vienna,Q1741,,,Matthäus Cosmerovius,Q55125046,1678,4,False,,,False
91,"AGATA (S.) Tragedia Sacra (in prosa). — in Catania, appr. Vincenzo Petronio. 1663 in 8 — di Giuseppe Squillacci, di Catania.",Agata (S,,Giuseppe Squillacci,,?,prose,Catania,Q1903,,,Vincenzo Petronio,,1663,8,False,,,False
92,"AGATA (S.) Tragedia Sacra, posta in luce da Martino la Farina. — in Palermo, per Giambatista Maringo, 1663 in 12. — Poesia del P. Ortensio Scamacca, Siciliano, della Compagnia di Gesù.",Agata (S,,Ortensio Scamacca,,?,,Palermo,Q2656,,,Giovanni Battista Maringo,Q107379881,1663,12,False,,,False
93,"AGATA (S.) Tragedia Sacra. — in Palermo, per il Bisagni, 1664 in 12. — Poesia di Lionardo Omodei, nell'Accademia di Palermo detto lo Avvivato.",Agata (S,,Lionardo Omodei,,?,,Palermo,Q2656,,,Bisagni,,1664,12,False,,,False
94,"AGATA COSTANTE. Tragedia. — in Viterbo, per Bernardino Diotallevi. 1602 in 12. — Poesia di Fr. Bernardino Turamini, Minor Osserv.",Agata Costante,,Bernardino Turamini,,Tragedia,,Viterbo,Q13395,,,Bernardino Diotallevi,Q94657489,1602,12,False,,,False
95,"AGATA COSTANTE. Rappresentazione. — Viterbo, per il Discepolo. 1630 in 12. — di Fr. Bernardino Turamini Min. Osserv.",Agata Costante,,Bernardino Turamini,,Rappresentazione,,,,,,Pietro Discepolo,Q86599631,1630,12,False,,,False
96,"AGATA COSTANTE (S.) Tragica Rappresentazione posta in Atto scenico (in prosa). — in Firenze, nella Stamperia del Sermartelli. 1640 in 12. — di D. Michiel Angiole Fantini, da Colle di Val d'Ella.",Agata Costante (S,,Michelangelo Fantini,,?,prose,Florence,Q2044,,,Bartolomeo II Sermartelli,Q107123511,1640,12,False,,,False
97,"AGATA MARTIRIZZATA. Rappresentazione. — in Napoli, per Giambatista Sottile. 1608 in 8 — ed ivi, per Eustazio Nucci. 1617 in 12. — Poesia di Girolamo Chisella.",Agata Martirizzata,,Girolamo Chisella,,Rappresentazione,,Naples,Q2634,,,Giovanni Battista Sottile,Q105886169,1608,8,False,,,False
98,"AGESILAO. Tragedia, tradotta dal Francese di Pietro Cornelio (in prosa). in Bologna, per il Longhi. senz'anno. in 12. — d'Incerto.",Agesilao,,unknown,Q24238356,"Tragedia, tradotta",prose,Bologna,Q1891,,,Giuseppe Longhi,Q98645100,0,12,False,,,True
99,AGESILAO. Tragedia tradotta da Giuseppe Baretti. — Venez. per il Bertella. 1747 in 4 con altre Tragedie. — di Pietro Cornelio.,Agesilao,,Pierre Corneille,Q747,Tragedia tradotta,,,,,,Bertella,,1747,4,False,,,True
100,"AGIDE RE DI SPARTA. Dramma rappresentato l'anno 1725. in Venezia nel Teatro di S. Mosè. — in Ven. appresso Marino Rossetti. 1725. in 12. — Poesia di Luisa Bergalli, Veneziana, tra gli Arcadi, Irminda Partenide. — Musica di Giovanni Porta, Veneziano.",Agide Re Di Sparta,,Luisa Bergalli,Q1433799,Dramma,,Venice,Q641,Teatro San Moisè,Q2575251,Marino Rossetti,Q122599209,1725,12,True,Giovanni Porta,Q571407,False
101,"AGLAE. Tragedia Sacra. — in Firenz. nella Stamperia di Pietro Nesti. 1655 in 4 — Poesia di Girolamo Bartolommei, già Smeducci.",Aglae,,Girolamo Bartolommei,Q109876959,Tragedia Sacra,,Florence,Q2044,,,Pietro Nesti,Q118733370,1655,4,False,,,False
102,"AGNELLA. Commedia (in prosa) recitata in Asola nella venuta del Duca di Nemours, del Duca di Buillon, ed altri Francesi. — Trevigi. 1558 in 8 — ed in Venez. appresso Alde 1585 in 8 — di Carlo Turco, Asolano.",Agnella,,Carlo Turco,Q3659919,Commedia,prose,Treviso,Q5475,,,Aldus Manutius,Q213220,1558,8,False,,,False
103,"AGNESA (S.) Rappresentazione Sacra. in Firenze, per Michiel—Agnolo di Bartolommeo Sermartelli. 1591 in 8, ed in Serravalle di Venezia, per Matteo Claseri. 1606 in 12. — Poesia di Fr. Gio. Angiolo Lottini, dell'Ordine de' Servi di Maria.",Agnesa (S,,Giovanni Angelo Lottini,Q56006600,?,,Florence,Q2044,,,Michelangelo Sermartelli,Q58233412,1591,8,False,,,False
104,"AGNESA (S.) Tragedia. — in Catania. 1673 in 8 — Poesia di Carlo Mancini, di Catania.",Agnesa (S,,Carlo Mancini,,?,,Catania,Q1903,,,unknown,,1673,8,False,,,False
105,"AGNESA DI FAENZA. Commedia in versi. — Verona, per il Vallarsi, 1743 in 8 — di Giulio Cesare Beccelli Veronese.",Agnesa Di Faenza,,Giulio Cesare Becelli,Q3769557,Commedia in,verse,,,,,Jacopo Vallarsi,,1743,8,False,,,False
106,"AGNESE. Tragedia Sacra. — in Palermo, appresso Niccolò Bua, e Michele Portanova. 1646 in 12. — Poesia di Fr. Cherubino Bello, Siciliano, di Terranova.",Agnese,,Cherubino Bello,,Tragedia Sacra,,Palermo,Q2656,,,Niccolò Bua,,1646,12,False,,,False
107,"AGNESE TRIONFANTE. Tragicommedia Spirituale (in prosa) — in Macerata, per Agostino Grisei. 1640. in 12. — del M. R. P. Vagnozzo Pica, Preposto della Venerab. Congregazione dell'Oratorio della Città di Ripatransona.",Agnese Trionfante,,Vagnozzo Pica,,Tragicommedia Spirituale,prose,Macerata,Q13135,,,Agostino Grisei I,Q118733443,1640,12,False,,,False
108,"AGNESE VERGINE, E MARTIRE. Rappresentazione. — in Siena, alla Loggia del Papa in 4 — Poesia d'incerto Autore.","Agnese Vergine, E Martire",,unknown,Q24238356,Rappresentazione,,Siena,Q2751,,,unknown,,0,4,False,,,False
109,"AGNESE VERGINE, E MARTIRE. Rappresentazione. — in Firenze, 1558 in 4 — ed in Treviso, per Francesco Righettini. 1662 in 12. — Poesia d'incerto Autore.","Agnese Vergine, E Martire",,unknown,Q24238356,Rappresentazione,,Florence,Q2044,,,Francesco Righettini,,1558,4,False,,,False
110,"AGNÉSE VERGINE ROMANA. Tragedia Sacra. — in Terni, per Toinmaso Guerrieri. 1626 in 12. — Poesia di Aurelio Amigazzi, Bergamasco.",Agnése Vergine Romana,,Aurelio Amigazzi,,Tragedia Sacra,,Terni,Q8621,,,Tommaso Guerrieri II,Q118733453,1626,12,False,,,False
111,"AGNESE VINCITRICE DELL'ETÀ, DELLA NATURA, E DE' TIRANNI. Tragedia scenica. — in Viterbo, per il Discepolo. 1629 in 12. — Poesia di Fr. Bernardino Turamini Min. Oss.","Agnese Vincitrice Dell'Età, Della Natura, E De' Tiranni",,Bernardino Turamini,,Tragedia scenica,,Viterbo,Q13395,,,Pietro Discepolo,Q86599631,1629,12,False,,,False
112,"AGNESE. Rappresentazione Tragica (in prosa, e in cinque Atti) in Venezia, appresso Giambatista Bonfadino, 1612 in 8 — di Giacomo Donati, di Lucca.",Agnese,,Giacomo Donati,,Rappresentazione Tragica,prose,Venice,Q641,,,Giovanni Battista Bonfadino,Q93419410,1612,8,False,,,False
113,"AGNESE, S. Tragedia Spirituale. — in Milano. 1653 in 8 — Poesia di Fr. Benedetto Cinquanta, Min. Osservante, fra gli Accademici Pacifici detto il Selvaggio.","Agnese, S",,Benedetto Cinquanta,Q88943896,?,,Milan,Q490,,,unknown,,1653,8,False,,,False
114,"AGNIZIA. Commedia Rusticale (in terza rima). — in Siena. 1545 in 8 — Poesia dello Strafalcione, cioè, Ascanio Cacciaconti della Congrega de’ Rozzi di Siena.",Agnizia,,Ascanio Cacciaconti,Q111473416,Commedia Rusticale,,Siena,Q2751,,,unknown,,1545,8,False,,,False
115,"AGNOLINA. Rappresentazione. — Foligno, per l'Altieri, 1629 in 12. — di Francesco Cirocchi.",Agnolina,,Francesco Cirocchi,,Rappresentazione,,,,,,Agostino Alteri,Q53996503,1629,12,False,,,False
116,"AGNOLO EBREO. Rappresentazione di Agnolo Ebreo, il quale si battezzò per miracolo di Nostra Donna (in ottava Rima) — in Siena, alla Loggia dal Papa, senz'anno, in 4 — ed in Firenze l'anno di Nostro Signore 1554. del Mese di Apr. in 4 — Poesia d'incerto Autore.",Agnolo Ebreo,,unknown,Q24238356,Rappresentazione,verse,Siena,Q2751,,,"Loggia del Papa, Siena",Q19605610,0,4,False,,,False
117,"AGNOLO RAFFAELLO, E TOBIA. Rappresentazione. — in Siena alla Loggia del Papa, senz'anno in 4 — d'incerto Autore.","Agnolo Raffaello, E Tobia",,unknown,Q24238356,Rappresentazione,,Siena,Q2751,,,unknown,,0,4,False,,,False
118,"AGNOTISIA, ovvero, la Pura Vittima. Rappresentazione della Passione di Nostro Signore. — in Venezia, per Alessandro Polo. 1620. in 12. — Poesia di Giuseppe Mozzagrugno, Gentiluomo di Lucera in Puglia, originario di Lanciano, Canonico Regolare del Salvatore, ed Abate. Il Zoppi lo chiama Mazzagrugno.",Agnotisia,La Pura Vittima,Giuseppe Mozzagrugno,,Rappresentazione della,,Venice,Q641,,,Alessandro Polo,,1620,12,False,,,False
119,"AGONIA DEL GLORIOSO S. GIUSEPPE. Oratorio a tre voci. — in Venezia, per Andrea Poletti, 1710 in 8 — Poesia di Lione Alberici, di Orvieto.",Agonia Del Glorioso S,,Leone Alberici,,Oratorio a,,Venice,Q641,,,Andrea Poletti,Q106463561,1710,8,False,,,False
120,"AGOSTINO. Oratorio per Musica. — in Mantova, nella Stamperia Ducale. 1692 in 8 — Poesia d'incerto Autore.",Agostino,,unknown,Q24238356,Oratorio,,Mantua,Q6247,,,Stamperia Ducale,,1692,8,True,,,False
121,"AGOSTINO BATTEZZATO (S.) Rappresentazione Sacra. — in Venezia, per Barezzo Barezzi, 1629 in 8 — Poesia di Paolino Fiamma, Crocifero.",Agostino Battezzato (S,,Paolino Fiamma,,?,,Venice,Q641,,,Barezzo Barezzi,Q93414286,1629,8,False,,,False
122,"A GRAN DANNO, GRAN RIMEDIO. Commedia in prosa tradotta dallo Spagnuolo. — senza luogo, Stampatore, e anno in 12. — di Francesco Manzani.","A Gran Danno, Gran Rimedio",,Francesco Manzani,Q119854276,Commedia in,prose,N/A,Q929804,,,unknown,,0,12,False,,,True
123,"AGRIPPA. Opera tradotta dall'Idioma Francese, e accomodata per le Scene all'uso d'Italia (in prosa) — in Bologna, nella Stamperia del Longhi, 1699 in 12. — d'Incerto.",Agrippa,,unknown,Q24238356,Opera tradotta,prose,Bologna,Q1891,,,Giuseppe Longhi,Q98645100,1699,12,False,,,True
124,"AGRIPPA RICONOSCIUTO. Tragedia tradotta dal Francese. — Ven. per il Fenzo, 1745 in 12. — d'Incerto.",Agrippa Riconosciuto,,unknown,Q24238356,Tragedia tradotta,,,,,,Modesto Fenzo,Q102287245,1745,12,False,,,True
125,"AGRIPPINA. Dramma recitato l'anno 1709. in Venezia, nel Teatro di S. Gio. Grisostomo. — in Venezia, appresso Marino Rossetti. 1709 in 12. — Poesia di Vincenzio Grimani, Patrizio Veneto, poi Cardinale di Santa Chiesa, e Vicerè di Napoli. — Musica di Giorgio Federigo Hendel, Tedesco.",Agrippina,,Vincenzo Grimani,Q1247746,Dramma,,Venice,Q641,Teatro Malibran,Q3982047,Marino Rossetti,Q122599209,1709,12,True,George Frideric Handel,Q7302,False
126,"AGRIPPINA IN BAJA. Scherzo Drammatico per Musica. — in Ferrara, per il Pomatelli. 1687 in 12. — Poesia del Dott. Giuseppe Contri.",Agrippina In Baja,,Giuseppe Contri,,Scherzo Drammatico,,Ferrara,Q13362,,,Francesco  Pomatelli,Q102280544,1687,12,True,,,False
127,"AGRIPPINA MINORE. Dramma. — in Verona, per Domenico Rossi. 1673. in 12. — Poesia di D. Carlo Marchesini, fra Timidi il Fugace.",Agrippina Minore,,Carlo Marchesini,,Dramma,,Verona,Q2028,,,Domenico de Rossi,Q1411610,1673,12,False,,,False
128,"AJACE. Dramma per Musica. — in Milano, nella Stamperia di Carlo Federigo Gagliardi. 1694 in 8 — Poesia d'incerto Autore.",Ajace,,unknown,Q24238356,Dramma,,Milan,Q490,,,Carlo Federigo Gagliardi,,1694,8,True,,,False
129,"AJACE FLACELLIFERO. Tragedia di Sofocle tradotta in volgare. — in Venezia, per Lucio Spineda, 1603 in 8 — Poesia di Girolamo Giustiniani, Genovese.",Ajace Flacellifero,,Girolamo Giustiniani,Q94879879,Tragedia,,Venice,Q641,,,Lucio Spineda,Q111439493,1603,8,False,,,True
130,"ALARICO RE DE' GOTI. Dramma recitato in Ferrara l'anno 1685. nel Teatro Bonacossi. — in Bologna, per Gioseffo Longhi. 1685 in 12. — Poesia d'incerto Autore. — Musica di Giambatista Bassani, Padovano. — Replicato l'anno stesso nel Teatro pubblico di Belogna. — Musica del detto Bassani. ed in Bologna l'anno 1716, nel Teatro Formagliari. — Musica del suddetto Bassani. — e di nuovo in Ferrara l'anno 1686 — in Bologna, per il Longhi. 1686 in 12. —",Alarico Re De' Goti,,unknown,Q24238356,Dramma,,Bologna,Q1891,Teatro Santo Stefano/Bonacossi,,Giuseppe Longhi,Q98645100,1685,12,True,Giovanni Battista Bassani,Q465565,False
131,"ALARICO IN ROMA. Dramma recitato in Padova l'anno 1680. in Padova, per il Pasquati, 1680. in 12. — Poesia di Bartolommeo Groppi.",Alarico In Roma,,Bartolommeo Groppi,,Dramma,,Padua,Q617,,,Pasquati,,1680,12,False,,,False
132,"ALARICO. Drama rappresentato nel Teatro Obizzi di Padova l'anno 1709 in Padova, senza Stampatore, 1709 in 12. — Poesia d'Incerto.",Alarico,,unknown,Q24238356,Drama,,Padua,Q617,Teatro Obizzi di Padova,,unknown,,1709,12,False,,,False
133,"ALBA CORNELIA. Dramma rappresentato nella Cesarea Corte, per comando Augustissimo nel Carnevale dell'anno 1714 — in Vienna, per gli Eredi Cosmeroviani. 1714 in 8— Poesia di Silvio Stampiglia, Romano. — Musica di Francesco Conti.",Alba Cornelia,,Silvio Stampiglia,Q1375676,Dramma,,Vienna,Q1741,,,Eredi Cosmeroviani,,1714,8,True,Francesco Bartolomeo Conti,Q691763,False
134,"ALBA SOGGIOGATA DA ROMANI. Dramma per Musica rappresentato anno 1695. nel Teatro Malvezzi di Bologna. — in Reggio, per il Vedrotti, 1695 in 12. — Poesia d'incerto Autore.",Alba Soggiogata Da Romani,,unknown,Q24238356,Dramma,,Reggio Emilia,Q13360,Teatro Malvezzi di Bologna,,Prospero Vedrotti,,1695,12,True,,,False
135,"ALBESINDA. Tragedia. — in Venezia, presso Cristoforo Tommasini. 1623. in 4 — Poesia di Bernardino Campelli, di Spoleti.",Albesinda,,Bernardino Campello,Q33125431,Tragedia,,Venice,Q641,,,Cristoforo Tomasini,Q112561095,1623,4,False,,,False
136,"ALBIDO. Favola Pastorale. — in Roma, per Giacomo Mascardi, 1624 in 12. — ed ivi, per Lodovico Grighani, 1646. in 8 — Poesia d'Ivo Gattula, Professore Primario di Legge nello Studio di Roma.",Albido,,Ivo Gattula,,Favola Pastorale,,Rome,Q220,,,Giacomo Mascardi,Q21542713,1624,12,False,,,False
137,"ALEIRA. Tragedia Politico—Morale. — in Catania, appresso il Bisagni. 1584 in 4 — di Francesco Morabito, di Catania.",Aleira,,Francesco Morabito,,Tragedia Politico—Morale,,Catania,Q1903,,,Bisagni,,1584,4,False,,,False
138,"ALBOINO. Dramma per Musica rappresentato nella Ces. R. Corte nel Carnevale dell'anno 1707 — in Vienna, appresso gli Eredi Cosmeroviani, 1707 in 8 — Poesia d'Incerto Autore. — Musica di Marc'Antonio Ziani, Veneziano, Maestro di Cappella di S. M. Ces.",Alboino,,unknown,Q24238356,Dramma,,Vienna,Q1741,,,Eredi Cosmeroviani,,1707,8,True,Marc'Antonio Ziani,Q302270,False
139,"ALBOINO IN ITALIA. Dramma recitato in Venezia l'anno 1691, nel Teatro de' SS. Gio. e Paolo. — in Venezia, per il Niccolini, 1691. in 12. — Poesia di Giulio Cesare Corradi, Parmigiano. — Musica di Giuseppe Felice Tosi, Bolognese, e di Carlo Francesco Pollarolo, Bresciano.",Alboino In Italia,,Giulio Cesare Corradi,Q328154,Dramma,,Venice,Q641,Teatro Santi Giovanni e Paolo,Q3982137,Francesco Niccolini,,1691,12,True,Giuseppe Felice Tosi,Q1528314,False
